mixed,cat,date,num
,5T31,2013-02-10,
,5T31,2013-02-18,
,KY71,2013-02-22,0
0.002854472,KY71,2013-01-23,0
,5S11,2013-01-25,
,5S11,2013-02-05,
,5S11,2013-02-08,
,5S11,2013-02-03,
0,JA53,2013-01-17,0
0,JA53,2013-01-31,0
532,JF03,2013-01-03,66.85587941
,WG32,2013-01-21,21.76633174
,WG32,2013-02-12,18.62001394
,8V31,2013-01-17,
,5S31,2013-01-15,
,5S31,2013-01-08,
,5S31,2013-01-31,
,3B37,2013-02-25,
,3B37,2013-01-01,
,3B37,2013-02-25,
,3B37,2013-01-29,
,3B37,2013-01-12,
,5A31,2013-02-18,
,5A31,2013-02-02,
,5A31,2013-01-06,
,5A31,2013-02-01,
,5A31,2013-02-07,
,5A31,2013-02-13,
,3M21,2013-02-18,84.88464
,3A57,2013-02-12,
,3A57,2013-02-12,
,YG63,2013-02-07,
,YG63,2013-01-22,
,YG63,2013-02-12,
,YG63,2013-01-23,
,YG63,2013-02-06,
,YG63,2013-02-28,
,5S31,2013-01-03,
,5S31,2013-02-13,
,5S31,2013-02-19,
,5S31,2013-02-04,
,5S31,2013-01-23,
,8Y51,2013-01-29,48.59619
,8Y51,2013-02-11,48.59619
,SZ61,2013-02-23,
,SZ61,2013-02-09,
,SZ61,2013-01-22,
,SZ61,2013-01-12,
,SZ61,2013-02-24,
,SZ61,2013-02-25,
,SZ61,2013-02-26,
,1T12,2013-02-17,0
,1T12,2013-02-22,0
,HT91,2013-01-29,100
,HT91,2013-02-12,100
,HT91,2013-01-22,100
,5.00E+52,2013-02-12,0
,5S31,2013-01-31,
,5S31,2013-02-14,
,5S31,2013-02-06,
,5S31,2013-01-08,
,5S31,2013-02-26,
,5S31,2013-01-22,
,5S31,2013-02-25,
,5S31,2013-02-22,
,5S31,2013-02-07,
,5S31,2013-01-06,
,5S31,2013-01-15,
,5S31,2013-01-26,
,5S31,2013-01-21,
,5S31,2013-02-21,
,5S11,2013-02-03,
,5S11,2013-02-04,
,5S11,2013-01-22,
,5S11,2013-02-04,
,5S11,2013-01-09,
,5S11,2013-01-12,
,5S11,2013-01-05,
,5T31,2013-02-13,
,5S11,2013-01-12,
,5S11,2013-02-17,
,5S11,2013-01-10,
,5S11,2013-02-01,
,5S11,2013-02-19,
,5S11,2013-01-01,
,5S31,2013-02-20,
,5S31,2013-02-24,
,5S31,2013-02-07,
,5S31,2013-02-22,
,5S31,2013-02-25,
,5T31,2013-01-22,
,KW21,2013-02-01,
,3B17,2013-02-18,20.8725
,3B17,2013-01-31,34.02405
,3B17,2013-01-14,
,1R51,2013-01-08,8.5373
,1R51,2013-02-08,0
,1R51,2013-01-31,0
,5S31,2013-02-09,
,5S31,2013-02-18,
,HT92,2013-01-08,50.41514138
,HT92,2013-01-09,49.79855542
,3A53,2013-01-11,
,3A53,2013-01-01,
,3A53,2013-02-10,
,XG11,2013-01-06,
,3M21,2013-02-17,70.35522
,3M21,2013-02-06,81.10046
,3M21,2013-02-21,81.10046
,3M21,2013-02-27,82.24487
,3M21,2013-01-18,82.21436
,3M21,2013-01-06,66.73889
,3M21,2013-02-07,66.47949
,2A32,2013-01-29,0
,2A32,2013-02-16,0
,XM53,2013-01-16,0
,3M21,2013-01-29,
,3M21,2013-01-04,
,3M21,2013-01-15,
,1T11,2013-01-05,0
,1T11,2013-02-09,0
,1T11,2013-01-05,0
,1T11,2013-02-22,0
,1S71,2013-02-21,32.43408
,1S71,2013-01-25,44.62891
,XS52,2013-01-27,0
,XS52,2013-02-19,0
,XS52,2013-01-23,0
,XS52,2013-02-18,0.15106
,XM53,2013-01-25,66.69057295
,LS21,2013-01-16,
,LS21,2013-01-25,
,LS21,2013-02-03,
,5A32,2013-01-04,
,5A32,2013-02-17,
,5A32,2013-01-03,
,5A32,2013-02-17,
3520,7.00E+41,2013-01-01,86.63024936
4124,7.00E+41,2013-02-18,87.8601085
2658,7.00E+41,2013-01-21,85.09827043
2795,7.00E+41,2013-02-20,85.35004025
,YG41,2013-01-08,
,YG41,2013-02-09,
,YG41,2013-02-03,
,YG41,2013-01-02,
,YG41,2013-01-12,
,YG41,2013-01-05,
,YG41,2013-01-10,
0.002854472,KY71,2013-02-22,0
,KY71,2013-01-02,0
,1R51,2013-01-30,100
,1R51,2013-01-13,100.0016
,1R51,2013-02-12,100
0,JA53,2013-02-02,0
0,JA53,2013-02-18,0
,JA53,2013-01-29,0
,8V31,2013-02-03,
,XS51,2013-02-16,82.93616
,XS51,2013-02-27,100
,8.00E+17,2013-01-11,
,8.00E+17,2013-02-08,
,8.00E+17,2013-01-14,
,8.00E+17,2013-02-04,
,3B37,2013-01-11,
,3B37,2013-02-05,
,KS43,2013-02-28,
,KS43,2013-03-01,
,3M21,2013-02-05,
,3M21,2013-02-26,
,3M21,2013-02-26,
,3M21,2013-01-14,57.63397
,3M21,2013-02-07,82.38373
,5.00E+51,2013-01-01,31.76657552
,5.00E+51,2013-01-08,29.89867063
,5.00E+51,2013-02-10,28.12843448
,5.00E+51,2013-01-20,28.26272805
,YG63,2013-01-22,
,YG63,2013-01-05,
,YG63,2013-02-28,
,YG63,2013-01-11,
,XS51,2013-01-07,100
,5S11,2013-01-04,
,5S11,2013-02-02,
,8Y51,2013-01-19,48.21777
,8Y51,2013-02-28,48.19336
,8Y51,2013-01-02,51.18408
,8Y51,2013-01-01,0
,8Y51,2013-02-14,0
,8Y51,2013-02-26,48.59619
,SZ61,2013-01-20,
,SZ61,2013-02-03,
,5S31,2013-02-04,
,5S31,2013-02-26,
,5S31,2013-01-27,
,5S31,2013-02-25,
,5S31,2013-01-21,
,HT33,2013-01-20,0
,HT33,2013-02-22,0
,HT33,2013-02-23,0
,LN31,2013-01-15,6.878454704
,LN31,2013-01-12,9.858401432
,5.00E+52,2013-02-26,0
,5.00E+52,2013-02-13,0
,5.00E+52,2013-02-16,0
,5.00E+52,2013-02-09,0
,5.00E+52,2013-02-18,0
,5S31,2013-02-01,
,5S31,2013-01-22,
,3M21,2013-02-11,
,3M21,2013-01-31,
,3M21,2013-01-13,
,3M21,2013-02-04,
,3M21,2013-03-01,
,3M21,2013-02-11,
,5S31,2013-01-08,
,5S31,2013-01-11,
,4A53,2013-02-09,
,SZ61,2013-02-11,
,SZ61,2013-01-24,
,SZ61,2013-01-11,
,LS21,2013-02-08,
,5S11,2013-02-12,
,5S11,2013-02-02,
,5S11,2013-01-17,
,5A51,2013-02-03,
,5A51,2013-01-15,
,5A51,2013-02-09,
